mpg,displacement,horsepower,weight,acceleration,model year,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_1,origin_2,origin_3
18.0,307.0,130.0,3504.0,12.0,1.0,0,0,0,1,1,0,0
15.0,350.0,165.0,3693.0,11.5,1.0,0,0,0,1,1,0,0
18.0,318.0,150.0,3436.0,11.0,1.0,0,0,0,1,1,0,0
16.0,304.0,150.0,3433.0,12.0,1.0,0,0,0,1,1,0,0
17.0,302.0,140.0,3449.0,10.5,1.0,0,0,0,1,1,0,0
15.0,429.0,198.0,4341.0,10.0,1.0,0,0,0,1,1,0,0
15.0,383.0,170.0,3563.0,10.0,1.0,0,0,0,1,1,0,0
24.0,113.0,95.0,2372.0,15.0,1.0,1,0,0,0,0,0,1
22.0,198.0,95.0,2833.0,15.5,1.0,0,0,1,0,1,0,0
18.0,199.0,97.0,2774.0,15.5,1.0,0,0,1,0,1,0,0
21.0,200.0,85.0,2587.0,16.0,1.0,0,0,1,0,1,0,0
27.0,97.0,88.0,2130.0,14.5,1.0,1,0,0,0,0,0,1
25.0,110.0,87.0,2672.0,17.5,1.0,1,0,0,0,0,1,0
24.0,107.0,90.0,2430.0,14.5,1.0,1,0,0,0,0,1,0
25.0,104.0,95.0,2375.0,17.5,1.0,1,0,0,0,0,1,0
26.0,121.0,113.0,2234.0,12.5,1.0,1,0,0,0,0,1,0
21.0,199.0,90.0,2648.0,15.0,1.0,0,0,1,0,1,0,0
27.0,97.0,88.0,2130.0,14.5,2.0,1,0,0,0,0,0,1
28.0,140.0,90.0,2264.0,15.5,2.0,1,0,0,0,1,0,0
25.0,113.0,95.0,2228.0,14.0,2.0,1,0,0,0,0,0,1
19.0,232.0,100.0,2634.0,13.0,2.0,0,0,1,0,1,0,0
16.0,225.0,105.0,3439.0,15.5,2.0,0,0,1,0,1,0,0
17.0,250.0,100.0,3329.0,15.5,2.0,0,0,1,0,1,0,0
19.0,250.0,88.0,3302.0,15.5,2.0,0,0,1,0,1,0,0
18.0,232.0,100.0,3288.0,15.5,2.0,0,0,1,0,1,0,0
14.0,350.0,165.0,4209.0,12.0,2.0,0,0,0,1,1,0,0
14.0,400.0,175.0,4464.0,11.5,2.0,0,0,0,1,1,0,0
14.0,351.0,153.0,4154.0,13.5,2.0,0,0,0,1,1,0,0
14.0,318.0,150.0,4096.0,13.0,2.0,0,0,0,1,1,0,0
13.0,400.0,170.0,4746.0,12.0,2.0,0,0,0,1,1,0,0
18.0,258.0,110.0,2962.0,13.5,2.0,0,0,1,0,1,0,0
22.0,140.0,72.0,2408.0,19.0,2.0,1,0,0,0,1,0,0
19.0,250.0,100.0,3282.0,15.0,2.0,0,0,1,0,1,0,0
18.0,250.0,88.0,3139.0,14.5,2.0,0,0,1,0,1,0,0
23.0,122.0,86.0,2220.0,14.0,2.0,1,0,0,0,1,0,0
28.0,116.0,90.0,2123.0,14.0,2.0,1,0,0,0,0,1,0
30.0,79.0,70.0,2074.0,19.5,2.0,1,0,0,0,0,1,0
31.0,71.0,65.0,1773.0,19.0,2.0,1,0,0,0,0,0,1
27.0,97.0,60.0,1834.0,19.0,2.0,1,0,0,0,0,1,0
26.0,91.0,70.0,1955.0,20.5,2.0,1,0,0,0,1,0,0
24.0,113.0,95.0,2278.0,15.5,3.0,1,0,0,0,0,0,1
25.0,97.5,80.0,2126.0,17.0,3.0,1,0,0,0,1,0,0
20.0,140.0,90.0,2408.0,19.5,3.0,1,0,0,0,1,0,0
21.0,122.0,86.0,2226.0,16.5,3.0,1,0,0,0,1,0,0
13.0,350.0,165.0,4274.0,12.0,3.0,0,0,0,1,1,0,0
14.0,400.0,175.0,4385.0,12.0,3.0,0,0,0,1,1,0,0
15.0,318.0,150.0,4135.0,13.5,3.0,0,0,0,1,1,0,0
14.0,351.0,153.0,4129.0,13.0,3.0,0,0,0,1,1,0,0
17.0,304.0,150.0,3672.0,11.5,3.0,0,0,0,1,1,0,0
11.0,429.0,208.0,4633.0,11.0,3.0,0,0,0,1,1,0,0
13.0,350.0,155.0,4502.0,13.5,3.0,0,0,0,1,1,0,0
12.0,350.0,160.0,4456.0,13.5,3.0,0,0,0,1,1,0,0
13.0,400.0,190.0,4422.0,12.5,3.0,0,0,0,1,1,0,0
15.0,304.0,150.0,3892.0,12.5,3.0,0,0,0,1,1,0,0
13.0,307.0,130.0,4098.0,14.0,3.0,0,0,0,1,1,0,0
13.0,302.0,140.0,4294.0,16.0,3.0,0,0,0,1,1,0,0
14.0,318.0,150.0,4077.0,14.0,3.0,0,0,0,1,1,0,0
18.0,121.0,112.0,2933.0,14.5,3.0,1,0,0,0,0,1,0
22.0,121.0,76.0,2511.0,18.0,3.0,1,0,0,0,0,1,0
21.0,120.0,87.0,2979.0,19.5,3.0,1,0,0,0,0,1,0
26.0,96.0,69.0,2189.0,18.0,3.0,1,0,0,0,0,1,0
22.0,122.0,86.0,2395.0,16.0,3.0,1,0,0,0,1,0,0
28.0,97.0,92.0,2288.0,17.0,3.0,1,0,0,0,0,0,1
23.0,120.0,97.0,2506.0,14.5,3.0,1,0,0,0,0,0,1
28.0,98.0,80.0,2164.0,15.0,3.0,1,0,0,0,1,0,0
27.0,97.0,88.0,2100.0,16.5,3.0,1,0,0,0,0,0,1
13.0,350.0,175.0,4100.0,13.0,4.0,0,0,0,1,1,0,0
14.0,304.0,150.0,3672.0,11.5,4.0,0,0,0,1,1,0,0
13.0,350.0,145.0,3988.0,13.0,4.0,0,0,0,1,1,0,0
14.0,302.0,137.0,4042.0,14.5,4.0,0,0,0,1,1,0,0
15.0,318.0,150.0,3777.0,12.5,4.0,0,0,0,1,1,0,0
13.0,400.0,150.0,4464.0,12.0,4.0,0,0,0,1,1,0,0
13.0,351.0,158.0,4363.0,13.0,4.0,0,0,0,1,1,0,0
14.0,318.0,150.0,4237.0,14.5,4.0,0,0,0,1,1,0,0
13.0,360.0,175.0,3821.0,11.0,4.0,0,0,0,1,1,0,0
18.0,225.0,105.0,3121.0,16.5,4.0,0,0,1,0,1,0,0
16.0,250.0,100.0,3278.0,18.0,4.0,0,0,1,0,1,0,0
18.0,232.0,100.0,2945.0,16.0,4.0,0,0,1,0,1,0,0
18.0,250.0,88.0,3021.0,16.5,4.0,0,0,1,0,1,0,0
23.0,198.0,95.0,2904.0,16.0,4.0,0,0,1,0,1,0,0
12.0,400.0,167.0,4906.0,12.5,4.0,0,0,0,1,1,0,0
13.0,360.0,170.0,4654.0,13.0,4.0,0,0,0,1,1,0,0
12.0,350.0,180.0,4499.0,12.5,4.0,0,0,0,1,1,0,0
18.0,232.0,100.0,2789.0,15.0,4.0,0,0,1,0,1,0,0
20.0,97.0,88.0,2279.0,19.0,4.0,1,0,0,0,0,0,1
21.0,140.0,72.0,2401.0,19.5,4.0,1,0,0,0,1,0,0
22.0,108.0,94.0,2379.0,16.5,4.0,1,0,0,0,0,0,1
19.0,122.0,85.0,2310.0,18.5,4.0,1,0,0,0,1,0,0
21.0,155.0,107.0,2472.0,14.0,4.0,0,0,1,0,1,0,0
26.0,98.0,90.0,2265.0,15.5,4.0,1,0,0,0,0,1,0
15.0,350.0,145.0,4082.0,13.0,4.0,0,0,0,1,1,0,0
24.0,116.0,75.0,2158.0,15.5,4.0,1,0,0,0,0,1,0
20.0,114.0,91.0,2582.0,14.0,4.0,1,0,0,0,0,1,0
19.0,121.0,112.0,2868.0,15.5,4.0,1,0,0,0,0,1,0
15.0,318.0,150.0,3399.0,11.0,4.0,0,0,0,1,1,0,0
24.0,121.0,110.0,2660.0,14.0,4.0,1,0,0,0,0,1,0
20.0,156.0,122.0,2807.0,13.5,4.0,0,0,1,0,0,0,1
11.0,350.0,180.0,3664.0,11.0,4.0,0,0,0,1,1,0,0
20.0,198.0,95.0,3102.0,16.5,5.0,0,0,1,0,1,0,0
19.0,232.0,100.0,2901.0,16.0,5.0,0,0,1,0,1,0,0
15.0,250.0,100.0,3336.0,17.0,5.0,0,0,1,0,1,0,0
31.0,79.0,67.0,1950.0,19.0,5.0,1,0,0,0,0,0,1
26.0,122.0,80.0,2451.0,16.5,5.0,1,0,0,0,1,0,0
32.0,71.0,65.0,1836.0,21.0,5.0,1,0,0,0,0,0,1
25.0,140.0,75.0,2542.0,17.0,5.0,1,0,0,0,1,0,0
16.0,250.0,100.0,3781.0,17.0,5.0,0,0,1,0,1,0,0
16.0,258.0,110.0,3632.0,18.0,5.0,0,0,1,0,1,0,0
18.0,225.0,105.0,3613.0,16.5,5.0,0,0,1,0,1,0,0
16.0,302.0,140.0,4141.0,14.0,5.0,0,0,0,1,1,0,0
13.0,350.0,150.0,4699.0,14.5,5.0,0,0,0,1,1,0,0
14.0,318.0,150.0,4457.0,13.5,5.0,0,0,0,1,1,0,0
14.0,302.0,140.0,4638.0,16.0,5.0,0,0,0,1,1,0,0
14.0,304.0,150.0,4257.0,15.5,5.0,0,0,0,1,1,0,0
29.0,98.0,83.0,2219.0,16.5,5.0,1,0,0,0,0,1,0
26.0,79.0,67.0,1963.0,15.5,5.0,1,0,0,0,0,1,0
26.0,97.0,78.0,2300.0,14.5,5.0,1,0,0,0,0,1,0
32.0,83.0,61.0,2003.0,19.0,5.0,1,0,0,0,0,0,1
28.0,90.0,75.0,2125.0,14.5,5.0,1,0,0,0,1,0,0
24.0,90.0,75.0,2108.0,15.5,5.0,1,0,0,0,0,1,0
26.0,116.0,75.0,2246.0,14.0,5.0,1,0,0,0,0,1,0
24.0,120.0,97.0,2489.0,15.0,5.0,1,0,0,0,0,0,1
26.0,108.0,93.0,2391.0,15.5,5.0,1,0,0,0,0,0,1
31.0,79.0,67.0,2000.0,16.0,5.0,1,0,0,0,0,1,0
19.0,225.0,95.0,3264.0,16.0,6.0,0,0,1,0,1,0,0
18.0,250.0,105.0,3459.0,16.0,6.0,0,0,1,0,1,0,0
15.0,250.0,72.0,3432.0,21.0,6.0,0,0,1,0,1,0,0
15.0,250.0,72.0,3158.0,19.5,6.0,0,0,1,0,1,0,0
16.0,400.0,170.0,4668.0,11.5,6.0,0,0,0,1,1,0,0
15.0,350.0,145.0,4440.0,14.0,6.0,0,0,0,1,1,0,0
