mpg,displacement,horsepower,weight,acceleration,model year,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_1,origin_2,origin_3
18,307,130,3504,12,1.0,0,0,0,1,1,0,0
15,350,165,3693,11.5,1.0,0,0,0,1,1,0,0
18,318,150,3436,11,1.0,0,0,0,1,1,0,0
16,304,150,3433,12,1.0,0,0,0,1,1,0,0
17,302,140,3449,10.5,1.0,0,0,0,1,1,0,0
15,429,198,4341,10,1.0,0,0,0,1,1,0,0
14,454,220,4354,9,1.0,0,0,0,1,1,0,0
14,440,215,4312,8.5,1.0,0,0,0,1,1,0,0
14,455,225,4425,10,1.0,0,0,0,1,1,0,0
15,390,190,3850,8.5,1.0,0,0,0,1,1,0,0
15,383,170,3563,10,1.0,0,0,0,1,1,0,0
14,340,160,3609,8,1.0,0,0,0,1,1,0,0
15,400,150,3761,9.5,1.0,0,0,0,1,1,0,0
14,455,225,3086,10,1.0,0,0,0,1,1,0,0
24,113,95,2372,15,1.0,1,0,0,0,0,0,1
22,198,95,2833,15.5,1.0,0,0,1,0,1,0,0
18,199,97,2774,15.5,1.0,0,0,1,0,1,0,0
21,200,85,2587,16,1.0,0,0,1,0,1,0,0
27,97,88,2130,14.5,1.0,1,0,0,0,0,0,1
26,97,46,1835,20.5,1.0,1,0,0,0,0,1,0
25,110,87,2672,17.5,1.0,1,0,0,0,0,1,0
24,107,90,2430,14.5,1.0,1,0,0,0,0,1,0
25,104,95,2375,17.5,1.0,1,0,0,0,0,1,0
26,121,113,2234,12.5,1.0,1,0,0,0,0,1,0
21,199,90,2648,15,1.0,0,0,1,0,1,0,0
10,360,215,4615,14,1.0,0,0,0,1,1,0,0
10,307,200,4376,15,1.0,0,0,0,1,1,0,0
11,318,210,4382,13.5,1.0,0,0,0,1,1,0,0
9,304,193,4732,18.5,1.0,0,0,0,1,1,0,0
27,97,88,2130,14.5,2.0,1,0,0,0,0,0,1
28,140,90,2264,15.5,2.0,1,0,0,0,1,0,0
25,113,95,2228,14,2.0,1,0,0,0,0,0,1
25,98,?,2046,19,2.0,1,0,0,0,1,0,0
19,232,100,2634,13,2.0,0,0,1,0,1,0,0
16,225,105,3439,15.5,2.0,0,0,1,0,1,0,0
17,250,100,3329,15.5,2.0,0,0,1,0,1,0,0
19,250,88,3302,15.5,2.0,0,0,1,0,1,0,0
18,232,100,3288,15.5,2.0,0,0,1,0,1,0,0
14,350,165,4209,12,2.0,0,0,0,1,1,0,0
14,400,175,4464,11.5,2.0,0,0,0,1,1,0,0
14,351,153,4154,13.5,2.0,0,0,0,1,1,0,0
14,318,150,4096,13,2.0,0,0,0,1,1,0,0
12,383,180,4955,11.5,2.0,0,0,0,1,1,0,0
13,400,170,4746,12,2.0,0,0,0,1,1,0,0
13,400,175,5140,12,2.0,0,0,0,1,1,0,0
18,258,110,2962,13.5,2.0,0,0,1,0,1,0,0
22,140,72,2408,19,2.0,1,0,0,0,1,0,0
19,250,100,3282,15,2.0,0,0,1,0,1,0,0
18,250,88,3139,14.5,2.0,0,0,1,0,1,0,0
23,122,86,2220,14,2.0,1,0,0,0,1,0,0
28,116,90,2123,14,2.0,1,0,0,0,0,1,0
30,79,70,2074,19.5,2.0,1,0,0,0,0,1,0
30,88,76,-2065,14.5,2.0,1,0,0,0,0,1,0
31,71,65,1773,19,2.0,1,0,0,0,0,0,1
35,72,69,1613,18,2.0,1,0,0,0,0,0,1
27,97,60,1834,19,2.0,1,0,0,0,0,1,0
26,91,70,1955,20.5,2.0,1,0,0,0,1,0,0
24,113,95,2278,15.5,3.0,1,0,0,0,0,0,1
25,97.5,80,2126,17,3.0,1,0,0,0,1,0,0
23,97,54,2254,23.5,3.0,1,0,0,0,0,1,0
20,140,90,2408,19.5,3.0,1,0,0,0,1,0,0
21,122,86,2226,16.5,3.0,1,0,0,0,1,0,0
13,350,165,4274,12,3.0,0,0,0,1,1,0,0
14,400,175,4385,12,3.0,0,0,0,1,1,0,0
15,318,150,4135,13.5,3.0,0,0,0,1,1,0,0
14,351,153,4129,13,3.0,0,0,0,1,1,0,0
17,304,150,3672,11.5,3.0,0,0,0,1,1,0,0
11,429,208,4633,11,3.0,0,0,0,1,1,0,0
13,350,155,4502,13.5,3.0,0,0,0,1,1,0,0
12,350,160,4456,13.5,3.0,0,0,0,1,1,0,0
13,400,190,4422,12.5,3.0,0,0,0,1,1,0,0
19,70,97,2330,13.5,3.0,0,0,0,0,0,0,1
15,304,150,3892,12.5,3.0,0,0,0,1,1,0,0
13,307,130,4098,14,3.0,0,0,0,1,1,0,0
13,302,140,4294,16,3.0,0,0,0,1,1,0,0
14,318,150,4077,14,3.0,0,0,0,1,1,0,0
18,121,112,2933,14.5,3.0,1,0,0,0,0,1,0
